vendor,kind,model,status,primary_source_url,secondary_source_url,fields_corroborated,conflicts,action
NVIDIA,gpu,GeForce RTX 5090,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5090.c4216,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 5080,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5080.c4217,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 5070 Ti,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5070-ti.c4243,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 5070,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5070.c4218,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 5060 Ti 16 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5060-ti-16-gb.c4292,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 5060 Ti 8 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5060-ti-8-gb.c4246,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 5060,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5060.c4219,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 5050,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-5050.c4220,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | memory bandwidth | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4090,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4090.c3889,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4080 SUPER,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4080-super.c4182,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4080,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4080.c3888,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4070 Ti SUPER,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070-ti-super.c4187,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4070 Ti,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070-ti.c3950,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4070 SUPER,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070-super.c4186,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4070 GDDR6,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070-gddr6.c4228,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4070 GDDR6X,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070.c3924,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4060 Ti 16 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4060-ti-16-gb.c4155,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4060 Ti 8 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4060-ti-8-gb.c3890,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 4060,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-4060.c4107,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3090 Ti,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090-ti.c3829,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3090,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3080 Ti,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080-ti.c3735,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3080 12 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080-12-gb.c3834,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3080 10 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080.c3621,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3070 Ti,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3070-ti.c3675,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3070,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3070.c3674,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3060 Ti GDDR6,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-ti.c3681,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3060 Ti GDDR6X,source variance,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-ti-gddr6x.c3935,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,board power: NVIDIA=200 W; independent=225 W,Retain official NVIDIA value; independent source differs
NVIDIA,gpu,GeForce RTX 3060 12 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-12-gb.c3682,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3060 8 GB,pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3050 (8 GB),pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3050-8-gb.c3858,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
NVIDIA,gpu,GeForce RTX 3050 (6 GB),pass,https://www.nvidia.com/en-us/geforce/graphics-cards/compare/,https://www.techpowerup.com/gpu-specs/geforce-rtx-3050-6-gb.c4188,architecture | CUDA cores | base clock | boost clock | memory size | memory type | memory interface | PCIe generation | CUDA capability | board power,,No correction required
